country,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience,Latitude,Longitude
USA,Master's degree,Woman,White,56000,8,40.0792,-98.8164
USA,PhD,Woman,White,64000,5,40.0792,-98.8164
USA,College degree,Woman,White,39000,2,40.0792,-98.8164
USA,College degree,Woman,White,42000,2,40.0792,-98.8164
USA,College Degree,Woman,White,68000,11,40.0792,-98.8164
USA,College degree,Woman,White,127000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,105000,5,40.0792,-98.8164
USA,PhD,Woman,White,146000,11,40.0792,-98.8164
USA,PhD,Woman,White,102500,8,40.0792,-98.8164
USA,College degree,Woman,White,140000,2,40.0792,-98.8164
USA,College degree,Woman,White,145000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,66000,5,40.0792,-98.8164
USA,College degree,Woman,White,61800,5,40.0792,-98.8164
USA,Master's degree,Woman,White,50000,11,40.0792,-98.8164
USA,College degree,Woman,White,70000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,128300,21,40.0792,-98.8164
USA,Master's degree,Woman,White,107000,5,40.0792,-98.8164
USA,PhD,Woman,White,600000,21,40.0792,-98.8164
USA,Master's degree,Man,"Hispanic, Latino, or Spanish origin",121000,5,40.0792,-98.8164
USA,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",125000,8,40.0792,-98.8164
USA,College degree,Man,White,82000,11,40.0792,-98.8164
USA,College degree,Woman,White,100000,8,40.0792,-98.8164
USA,College degree,Woman,White,80000,2,40.0792,-98.8164
USA,College degree,Woman,White,200000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,188434,8,40.0792,-98.8164
USA,College Degree,Woman,White,120000,2,40.0792,-98.8164
USA,College degree,Woman,White,92000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,84000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,44500,2,40.0792,-98.8164
USA,College degree,Woman,White,107500,11,40.0792,-98.8164
USA,Master's degree,Woman,Another option not listed here or prefer not to answer,155000,11,40.0792,-98.8164
USA,College degree,Woman,Asian or Asian American,82500,5,40.0792,-98.8164
USA,College degree,Non-binary,White,34000,5,40.0792,-98.8164
USA,College degree,Woman,Asian or Asian American,45000,2,40.0792,-98.8164
USA,College Degree,Woman,Another option not listed here or prefer not to answer,160000,21,40.0792,-98.8164
USA,Master's degree,Man,White,281000,5,40.0792,-98.8164
USA,College Degree,Man,Asian or Asian American,280000,11,40.0792,-98.8164
USA,College degree,Woman,White,143000,5,40.0792,-98.8164
USA,College Degree,Non-binary,White,83000,1,40.0792,-98.8164
USA,Master's degree,Woman,White,58800,2,40.0792,-98.8164
USA,Master's degree,Woman,White,101360,5,40.0792,-98.8164
